task_type,input_shape_batch1,output_shape_batch1,activation_precision,input_bytes,output_bytes,round_trip_bytes,pcie_effective_bandwidth_GBps,one_way_fixed_latency_us,fpga_speedup_over_gpu,communication_time_us,minimum_gpu_latency_for_offload_us
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,8,20,8,40.442000,46.219429
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,8,50,2,100.442000,200.884000
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,8,50,4,100.442000,133.922667
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,8,50,8,100.442000,114.790857
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,10,2,20.221000,40.442000
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,10,4,20.221000,26.961333
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,10,8,20.221000,23.109714
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,20,2,40.221000,80.442000
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,20,4,40.221000,53.628000
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,20,8,40.221000,45.966857
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,50,2,100.221000,200.442000
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,50,4,100.221000,133.628000
linear_classifier,1x768,1x1000,FP16,1536,2000,3536,16,50,8,100.221000,114.538286
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,10,2,20.884000,41.768000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,10,4,20.884000,27.845333
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,10,8,20.884000,23.867429
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,20,2,40.884000,81.768000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,20,4,40.884000,54.512000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,20,8,40.884000,46.724571
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,50,2,100.884000,201.768000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,50,4,100.884000,134.512000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,2,50,8,100.884000,115.296000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,10,2,20.442000,40.884000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,10,4,20.442000,27.256000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,10,8,20.442000,23.362286
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,20,2,40.442000,80.884000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,20,4,40.442000,53.922667
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,20,8,40.442000,46.219429
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,50,2,100.442000,200.884000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,50,4,100.442000,133.922667
linear_classifier,1x768,1x1000,INT8,768,1000,1768,4,50,8,100.442000,114.790857
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,10,2,20.221000,40.442000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,10,4,20.221000,26.961333
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,10,8,20.221000,23.109714
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,20,2,40.221000,80.442000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,20,4,40.221000,53.628000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,20,8,40.221000,45.966857
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,50,2,100.221000,200.442000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,50,4,100.221000,133.628000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,8,50,8,100.221000,114.538286
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,10,2,20.110500,40.221000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,10,4,20.110500,26.814000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,10,8,20.110500,22.983429
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,20,2,40.110500,80.221000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,20,4,40.110500,53.480667
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,20,8,40.110500,45.840571
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,50,2,100.110500,200.221000
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,50,4,100.110500,133.480667
linear_classifier,1x768,1x1000,INT8,768,1000,1768,16,50,8,100.110500,114.412000
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,10,2,1532.960000,3065.920000
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,10,4,1532.960000,2043.946667
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,10,8,1532.960000,1751.954286
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,20,2,1552.960000,3105.920000
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,20,4,1552.960000,2070.613333
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,20,8,1552.960000,1774.811429
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,50,2,1612.960000,3225.920000
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,50,4,1612.960000,2150.613333
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,2,50,8,1612.960000,1843.382857
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,4,10,2,776.480000,1552.960000
linear_ffn1,1x197x768,1x197x3072,FP32,605184,2420736,3025920,4,10,4,776.480000,1035.306667
