request_id,task_id,task_type,device,start_us,finish_us,duration_us
0,patch_embedding,patch_embedding,GPU,0.0,120.60550400000001,120.60550400000001
1,patch_embedding,patch_embedding,GPU,120.60550400000001,241.21100800000002,120.60550400000001
2,patch_embedding,patch_embedding,GPU,241.21100800000002,361.816512,120.605504
3,patch_embedding,patch_embedding,GPU,361.816512,482.42201600000004,120.60550400000002
4,patch_embedding,patch_embedding,GPU,482.42201600000004,603.02752,120.60550399999997
5,patch_embedding,patch_embedding,GPU,603.02752,723.633024,120.60550400000002
6,patch_embedding,patch_embedding,GPU,723.633024,844.2385280000001,120.60550400000002
7,patch_embedding,patch_embedding,GPU,844.2385280000001,964.8440320000001,120.60550400000002
0,token_embedding,token_and_position_embedding,GPU,964.8440320000001,1006.155072,41.311039999999984
1,token_embedding,token_and_position_embedding,GPU,1006.155072,1047.466112,41.3110400000001
2,token_embedding,token_and_position_embedding,GPU,1047.466112,1088.7771520000003,41.3110400000001
3,token_embedding,token_and_position_embedding,GPU,1088.7771520000003,1130.0881920000004,41.3110400000001
4,token_embedding,token_and_position_embedding,GPU,1130.0881920000004,1171.3992320000004,41.3110400000001
5,token_embedding,token_and_position_embedding,GPU,1171.3992320000004,1212.7102720000005,41.3110400000001
6,token_embedding,token_and_position_embedding,GPU,1212.7102720000005,1254.0213120000005,41.3110400000001
7,token_embedding,token_and_position_embedding,GPU,1254.0213120000005,1295.3323520000008,41.3110400000001
0,block_00_norm1,layer_norm,GPU,1295.3323520000008,1348.7470720000008,53.41472000000005
1,block_00_norm1,layer_norm,GPU,1348.7470720000008,1402.1617920000008,53.41472000000005
2,block_00_norm1,layer_norm,GPU,1402.1617920000008,1455.5765120000008,53.41472000000005
3,block_00_norm1,layer_norm,GPU,1455.5765120000008,1508.991232000001,53.41472000000005
4,block_00_norm1,layer_norm,GPU,1508.991232000001,1562.405952000001,53.41472000000005
5,block_00_norm1,layer_norm,GPU,1562.405952000001,1615.820672000001,53.41472000000005
0,block_00_qkv,linear_qkv,FPGA,1564.380032000001,1660.776528000001,96.39649600000008
6,block_00_norm1,layer_norm,GPU,1615.820672000001,1669.235392000001,53.41472000000005
7,block_00_norm1,layer_norm,GPU,1669.235392000001,1722.6501120000012,53.41472000000005
1,block_00_qkv,linear_qkv,FPGA,2035.270288000001,2131.6667840000014,96.39649600000008
2,block_00_qkv,linear_qkv,FPGA,2652.327408000001,2748.723904000001,96.39649600000008
0,block_00_attention,self_attention,GPU,2727.2560160000007,2851.477264000001,124.22124800000019
3,block_00_qkv,linear_qkv,FPGA,3282.0784640000006,3378.474960000001,96.39649600000008
1,block_00_attention,self_attention,GPU,3404.083504000001,3528.3047520000014,124.22124800000019
4,block_00_qkv,linear_qkv,FPGA,3922.1337920000005,4018.530288000001,96.39649600000008
2,block_00_attention,self_attention,GPU,4046.298864000002,4170.520112000002,124.22124799999976
5,block_00_qkv,linear_qkv,FPGA,4563.269136000001,4659.665632000001,96.39649600000008
3,block_00_attention,self_attention,GPU,4666.825664000001,4791.046912000001,124.22124799999976
6,block_00_qkv,linear_qkv,FPGA,5194.100208000001,5290.496704000001,96.39649600000008
4,block_00_attention,self_attention,GPU,5295.496704,5419.717952,124.22124799999976
7,block_00_qkv,linear_qkv,FPGA,5823.851264,5920.247759999999,96.39649600000008
5,block_00_attention,self_attention,GPU,5945.856304000002,6070.077552000002,124.22124799999976
0,block_00_proj,linear_projection,FPGA,6463.906592,6502.205424000001,38.298832000000125
6,block_00_attention,self_attention,GPU,6608.459536000002,6732.680784000002,124.22124799999976
0,block_00_residual1,residual_add,GPU,7001.287824,7042.5988640000005,41.31104000000031
1,block_00_proj,linear_projection,FPGA,7033.059984,7071.358816000001,38.298832000000125
0,block_00_norm2,layer_norm,GPU,7042.5988640000005,7096.013584,53.41471999999962
7,block_00_attention,self_attention,GPU,7203.447456000001,7327.668704000001,124.22124799999976
1,block_00_residual1,residual_add,GPU,7387.993168000001,7429.304208000001,41.31104000000031
2,block_00_proj,linear_projection,FPGA,7409.080416000001,7447.379248000001,38.298832000000125
1,block_00_norm2,layer_norm,GPU,7429.304208000001,7482.718928000001,53.41471999999962
2,block_00_residual1,residual_add,GPU,7785.100848000002,7826.411888000001,41.31104000000031
3,block_00_proj,linear_projection,FPGA,7785.100848000002,7823.39968,38.29883199999926
2,block_00_norm2,layer_norm,GPU,7826.411888000001,7879.826608000002,53.414720000000486
3,block_00_residual1,residual_add,GPU,8161.121279999999,8202.43232,41.31104000000031
4,block_00_proj,linear_projection,FPGA,8161.121279999999,8199.420111999998,38.29883199999926
3,block_00_norm2,layer_norm,GPU,8202.43232,8255.84704,53.414720000000486
4,block_00_residual1,residual_add,GPU,8537.141711999997,8578.452751999997,41.31104000000031
5,block_00_proj,linear_projection,FPGA,8537.141711999997,8575.440543999995,38.29883199999926
4,block_00_norm2,layer_norm,GPU,8578.452751999997,8631.867471999998,53.414720000000486
5,block_00_residual1,residual_add,GPU,8913.162143999994,8954.473183999995,41.31104000000031
6,block_00_proj,linear_projection,FPGA,8913.162143999994,8951.460975999995,38.29883199999926
5,block_00_norm2,layer_norm,GPU,8954.473183999995,9007.887903999996,53.414720000000486
0,block_00_ffn_island,fused_ffn_island,FPGA,9289.182575999992,9626.402671999993,337.2200960000005
6,block_00_residual1,residual_add,GPU,9289.182575999992,9330.493615999992,41.31104000000031
6,block_00_norm2,layer_norm,GPU,9330.493615999992,9383.908335999993,53.414720000000486
0,block_00_residual2,residual_add,GPU,9964.124271999992,10005.435311999992,41.31104000000031
