request_id,task_id,task_type,device,start_us,finish_us,duration_us
6,block_06_residual1,residual_add,GPU,94595.15174400058,94636.46278400059,41.31104000000552
7,block_06_residual1,residual_add,GPU,94636.46278400059,94677.7738240006,41.31104000000552
0,block_06_norm2,layer_norm,GPU,94677.7738240006,94731.1885440006,53.41472000000569
1,block_06_norm2,layer_norm,GPU,94731.1885440006,94784.6032640006,53.41472000000569
2,block_06_norm2,layer_norm,GPU,94784.6032640006,94838.01798400062,53.41472000000569
3,block_06_norm2,layer_norm,GPU,94838.01798400062,94891.43270400062,53.41472000000569
4,block_06_norm2,layer_norm,GPU,94891.43270400062,94944.84742400062,53.41472000000569
5,block_06_norm2,layer_norm,GPU,94944.84742400062,94998.26214400063,53.41472000000569
6,block_06_norm2,layer_norm,GPU,94998.26214400063,95051.67686400063,53.41472000000569
7,block_06_norm2,layer_norm,GPU,95051.67686400063,95105.09158400065,53.41472000000569
0,block_06_ffn_island,fused_ffn_island,GPU,95105.09158400065,96146.48364800065,1041.392064000002
1,block_06_ffn_island,fused_ffn_island,GPU,96146.48364800065,97187.87571200065,1041.392064000002
2,block_06_ffn_island,fused_ffn_island,GPU,97187.87571200065,98229.26777600065,1041.392064000002
3,block_06_ffn_island,fused_ffn_island,GPU,98229.26777600065,99270.65984000065,1041.392064000002
4,block_06_ffn_island,fused_ffn_island,GPU,99270.65984000065,100312.05190400065,1041.392064000002
5,block_06_ffn_island,fused_ffn_island,GPU,100312.05190400065,101353.44396800065,1041.392064000002
6,block_06_ffn_island,fused_ffn_island,GPU,101353.44396800065,102394.83603200066,1041.392064000002
7,block_06_ffn_island,fused_ffn_island,GPU,102394.83603200066,103436.22809600066,1041.392064000002
0,block_06_residual2,residual_add,GPU,103436.22809600066,103477.53913600066,41.31104000000552
1,block_06_residual2,residual_add,GPU,103477.53913600066,103518.85017600066,41.31104000000552
2,block_06_residual2,residual_add,GPU,103518.85017600066,103560.16121600068,41.31104000000552
3,block_06_residual2,residual_add,GPU,103560.16121600068,103601.47225600068,41.31104000000552
4,block_06_residual2,residual_add,GPU,103601.47225600068,103642.78329600068,41.31104000000552
5,block_06_residual2,residual_add,GPU,103642.78329600068,103684.0943360007,41.31104000000552
6,block_06_residual2,residual_add,GPU,103684.0943360007,103725.4053760007,41.31104000000552
7,block_06_residual2,residual_add,GPU,103725.4053760007,103766.7164160007,41.31104000000552
0,block_07_norm1,layer_norm,GPU,103766.7164160007,103820.13113600071,53.41472000000569
1,block_07_norm1,layer_norm,GPU,103820.13113600071,103873.54585600071,53.41472000000569
2,block_07_norm1,layer_norm,GPU,103873.54585600071,103926.96057600073,53.41472000000569
3,block_07_norm1,layer_norm,GPU,103926.96057600073,103980.37529600073,53.41472000000569
4,block_07_norm1,layer_norm,GPU,103980.37529600073,104033.79001600073,53.41472000000569
