task_id,task_type,device,input_shape_batch1,output_shape_batch1,precision,latency_mean_us,latency_p50_us,latency_p95_us,samples,source_kind,source_ref,hardware,notes
patch_embedding,patch_embedding,GPU,1x3x224x224,1x196x768,FP32,,,,,,,,
token_embedding,token_and_position_embedding,GPU,1x196x768,1x197x768,FP32,,,,,,,,
block_00_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_00_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_00_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_00_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_00_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_00_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_00_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_00_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_00_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_00_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_00_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_00_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_00_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_00_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_01_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_01_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_01_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_01_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_01_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_01_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_01_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_01_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_01_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_01_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
