request_id,selected_mode,task_id,task_type,device,start_us,finish_us
1,gpu_only,block_02_norm1,layer_norm,GPU,18768.36128,18790.49088
0,gpu_only,block_07_qkv,linear_qkv,GPU,18790.49088,19233.22336
1,gpu_only,block_02_qkv,linear_qkv,GPU,19233.22336,19675.95584
0,gpu_only,block_07_attention,self_attention,GPU,19675.95584,19831.9824
1,gpu_only,block_02_attention,self_attention,GPU,19831.9824,19988.008960000003
0,gpu_only,block_07_proj,linear_projection,GPU,19988.008960000003,20140.25312
1,gpu_only,block_02_proj,linear_projection,GPU,20140.25312,20292.49728
2,gpu_only,patch_embedding,patch_embedding,GPU,20292.49728,20444.004159999997
0,gpu_only,block_07_residual1,residual_add,GPU,20444.004159999997,20462.351359999997
1,gpu_only,block_02_residual1,residual_add,GPU,20462.351359999997,20480.69856
2,gpu_only,token_embedding,token_and_position_embedding,GPU,20480.69856,20499.04576
0,gpu_only,block_07_norm2,layer_norm,GPU,20499.04576,20521.17536
1,gpu_only,block_02_norm2,layer_norm,GPU,20521.17536,20543.30496
2,gpu_only,block_00_norm1,layer_norm,GPU,20543.30496,20565.43456
0,gpu_only,block_07_ffn_island,fused_ffn_island,GPU,20565.43456,21778.64704
1,gpu_only,block_02_ffn_island,fused_ffn_island,GPU,21778.64704,22991.85952
2,gpu_only,block_00_qkv,linear_qkv,GPU,22991.85952,23434.592
0,gpu_only,block_07_residual2,residual_add,GPU,23434.592,23452.9392
1,gpu_only,block_02_residual2,residual_add,GPU,23452.9392,23471.286400000005
2,gpu_only,block_00_attention,self_attention,GPU,23471.286400000005,23627.312960000003
0,gpu_only,block_08_norm1,layer_norm,GPU,23627.312960000003,23649.442560000003
1,gpu_only,block_03_norm1,layer_norm,GPU,23649.442560000003,23671.572160000003
2,gpu_only,block_00_proj,linear_projection,GPU,23671.572160000003,23823.81632
0,gpu_only,block_08_qkv,linear_qkv,GPU,23823.81632,24266.548800000004
1,gpu_only,block_03_qkv,linear_qkv,GPU,24266.548800000004,24709.281280000003
2,gpu_only,block_00_residual1,residual_add,GPU,24709.281280000003,24727.628480000003
0,gpu_only,block_08_attention,self_attention,GPU,24727.628480000003,24883.655040000005
1,gpu_only,block_03_attention,self_attention,GPU,24883.655040000005,25039.681600000007
2,gpu_only,block_00_norm2,layer_norm,GPU,25039.681600000007,25061.811200000007
0,gpu_only,block_08_proj,linear_projection,GPU,25061.811200000007,25214.055360000006
1,gpu_only,block_03_proj,linear_projection,GPU,25214.055360000006,25366.299520000004
2,gpu_only,block_00_ffn_island,fused_ffn_island,GPU,25366.299520000004,26579.512000000002
0,gpu_only,block_08_residual1,residual_add,GPU,26579.512000000002,26597.859200000003
1,gpu_only,block_03_residual1,residual_add,GPU,26597.859200000003,26616.206400000006
2,gpu_only,block_00_residual2,residual_add,GPU,26616.206400000006,26634.553600000007
0,gpu_only,block_08_norm2,layer_norm,GPU,26634.553600000007,26656.683200000007
1,gpu_only,block_03_norm2,layer_norm,GPU,26656.683200000007,26678.812800000007
2,gpu_only,block_01_norm1,layer_norm,GPU,26678.812800000007,26700.942400000007
0,gpu_only,block_08_ffn_island,fused_ffn_island,GPU,26700.942400000007,27914.154880000006
