request_id,task_id,task_type,device,start_us,finish_us,duration_us
0,patch_embedding,patch_embedding,GPU,0.0,120.60550400000001,120.60550400000001
1,patch_embedding,patch_embedding,GPU,120.60550400000001,241.21100800000002,120.60550400000001
2,patch_embedding,patch_embedding,GPU,241.21100800000002,361.816512,120.605504
3,patch_embedding,patch_embedding,GPU,361.816512,482.42201600000004,120.60550400000002
0,token_embedding,token_and_position_embedding,GPU,482.42201600000004,523.733056,41.31104000000004
1,token_embedding,token_and_position_embedding,GPU,523.733056,565.0440960000001,41.311039999999984
2,token_embedding,token_and_position_embedding,GPU,565.0440960000001,606.355136,41.311039999999984
3,token_embedding,token_and_position_embedding,GPU,606.355136,647.6661760000001,41.311039999999984
0,block_00_norm1,layer_norm,GPU,647.6661760000001,701.080896,53.41472000000005
1,block_00_norm1,layer_norm,GPU,701.080896,754.4956160000002,53.41472000000005
2,block_00_norm1,layer_norm,GPU,754.4956160000002,807.9103360000001,53.41472000000005
3,block_00_norm1,layer_norm,GPU,807.9103360000001,861.3250560000002,53.41472000000005
0,block_00_qkv,linear_qkv,GPU,861.3250560000002,1214.9110400000002,353.585984
1,block_00_qkv,linear_qkv,GPU,1214.9110400000002,1568.4970240000002,353.585984
2,block_00_qkv,linear_qkv,GPU,1568.4970240000002,1922.0830080000003,353.585984
3,block_00_qkv,linear_qkv,GPU,1922.0830080000003,2275.6689920000003,353.585984
0,block_00_attention,self_attention,GPU,2275.6689920000003,2399.89024,124.22124800000019
1,block_00_attention,self_attention,GPU,2399.89024,2524.1114880000005,124.22124800000019
2,block_00_attention,self_attention,GPU,2524.1114880000005,2648.3327360000008,124.22124800000019
3,block_00_attention,self_attention,GPU,2648.3327360000008,2772.553984000001,124.22124800000019
0,block_00_proj,linear_projection,GPU,2772.553984000001,2893.7493120000013,121.19532800000015
1,block_00_proj,linear_projection,GPU,2893.7493120000013,3014.944640000001,121.19532800000015
2,block_00_proj,linear_projection,GPU,3014.944640000001,3136.1399680000013,121.19532800000015
3,block_00_proj,linear_projection,GPU,3136.1399680000013,3257.3352960000016,121.19532800000015
0,block_00_residual1,residual_add,GPU,3257.3352960000016,3298.6463360000016,41.31103999999988
1,block_00_residual1,residual_add,GPU,3298.6463360000016,3339.957376000001,41.31103999999988
2,block_00_residual1,residual_add,GPU,3339.957376000001,3381.2684160000013,41.31103999999988
3,block_00_residual1,residual_add,GPU,3381.2684160000013,3422.579456000001,41.31103999999988
0,block_00_norm2,layer_norm,GPU,3422.579456000001,3475.994176000001,53.41472000000005
1,block_00_norm2,layer_norm,GPU,3475.994176000001,3529.4088960000013,53.41472000000005
2,block_00_norm2,layer_norm,GPU,3529.4088960000013,3582.823616000001,53.41472000000005
