request_id,arrival_us,backlog_at_arrival,selected_mode
0,0.0,0,gpu_only
1,16666.666666666668,1,gpu_only
2,33333.333333333336,1,gpu_only
3,50000.0,2,gpu_only
4,66666.66666666667,3,gpu_only
5,83333.33333333334,3,gpu_only
6,100000.0,4,gpu_only
7,116666.66666666667,4,gpu_only
8,133333.33333333334,5,gpu_only
9,150000.0,5,gpu_only
10,166666.6666666667,6,gpu_only
11,183333.33333333334,7,gpu_only
12,200000.0,7,gpu_only
13,216666.6666666667,8,gpu_only
14,233333.33333333334,8,gpu_only
15,250000.00000000003,9,gpu_only
16,266666.6666666667,9,gpu_only
17,283333.3333333334,10,gpu_only
18,300000.0,11,gpu_only
19,316666.6666666667,11,gpu_only
20,333333.3333333334,12,gpu_only
21,350000.0,12,gpu_only
22,366666.6666666667,13,gpu_only
23,383333.3333333334,13,gpu_only
24,400000.0,14,gpu_only
25,416666.6666666667,15,gpu_only
26,433333.3333333334,15,gpu_only
27,450000.00000000006,16,gpu_only
28,466666.6666666667,16,gpu_only
29,483333.3333333334,17,gpu_only
30,500000.00000000006,17,gpu_only
31,516666.6666666667,18,gpu_only
32,533333.3333333334,18,gpu_only
33,550000.0,19,gpu_only
34,566666.6666666667,20,gpu_only
35,583333.3333333334,20,gpu_only
36,600000.0,21,gpu_only
37,616666.6666666667,21,gpu_only
38,633333.3333333334,22,gpu_only
39,650000.0,22,gpu_only
40,666666.6666666667,23,gpu_only
41,683333.3333333334,24,gpu_only
42,700000.0,24,gpu_only
43,716666.6666666667,25,gpu_only
44,733333.3333333334,25,gpu_only
45,750000.0,26,gpu_only
46,766666.6666666667,26,gpu_only
47,783333.3333333334,27,gpu_only
48,800000.0,27,gpu_only
49,816666.6666666667,28,gpu_only
50,833333.3333333334,29,gpu_only
51,850000.0000000001,29,gpu_only
52,866666.6666666667,30,gpu_only
53,883333.3333333334,30,gpu_only
54,900000.0000000001,31,gpu_only
55,916666.6666666667,32,gpu_only
56,933333.3333333334,32,gpu_only
57,950000.0000000001,33,gpu_only
58,966666.6666666667,33,gpu_only
59,983333.3333333334,34,gpu_only
60,1000000.0000000001,34,gpu_only
61,1016666.6666666667,35,gpu_only
62,1033333.3333333334,35,gpu_only
63,1050000.0,36,gpu_only
