request_id,selected_mode,task_id,task_type,device,start_us,finish_us
0,fixed_manifest,block_07_residual1,residual_add,GPU,11318.624319999997,11336.971519999997
0,fixed_manifest,block_07_norm2,layer_norm,GPU,11336.971519999997,11359.101119999998
0,fixed_manifest,block_07_ffn_island,fused_ffn_island,FPGA,11517.865919999997,11850.613439999996
0,fixed_manifest,block_07_residual2,residual_add,GPU,12009.378239999995,12027.725439999995
0,fixed_manifest,block_08_norm1,layer_norm,GPU,12027.725439999995,12049.855039999995
0,fixed_manifest,block_08_qkv,linear_qkv,GPU,12049.855039999995,12492.587519999994
0,fixed_manifest,block_08_attention,self_attention,GPU,12492.587519999994,12648.614079999994
0,fixed_manifest,block_08_proj,linear_projection,GPU,12648.614079999994,12800.858239999994
0,fixed_manifest,block_08_residual1,residual_add,GPU,12800.858239999994,12819.205439999992
0,fixed_manifest,block_08_norm2,layer_norm,GPU,12819.205439999992,12841.335039999993
0,fixed_manifest,block_08_ffn_island,fused_ffn_island,FPGA,13000.099839999992,13332.847359999992
0,fixed_manifest,block_08_residual2,residual_add,GPU,13491.612159999991,13509.95935999999
0,fixed_manifest,block_09_norm1,layer_norm,GPU,13509.95935999999,13532.08895999999
0,fixed_manifest,block_09_qkv,linear_qkv,GPU,13532.08895999999,13974.821439999989
0,fixed_manifest,block_09_attention,self_attention,GPU,13974.821439999989,14130.847999999989
0,fixed_manifest,block_09_proj,linear_projection,GPU,14130.847999999989,14283.09215999999
0,fixed_manifest,block_09_residual1,residual_add,GPU,14283.09215999999,14301.43935999999
0,fixed_manifest,block_09_norm2,layer_norm,GPU,14301.43935999999,14323.56895999999
0,fixed_manifest,block_09_ffn_island,fused_ffn_island,FPGA,14482.333759999989,14815.081279999988
0,fixed_manifest,block_09_residual2,residual_add,GPU,14973.846079999987,14992.193279999987
0,fixed_manifest,block_10_norm1,layer_norm,GPU,14992.193279999987,15014.322879999987
0,fixed_manifest,block_10_qkv,linear_qkv,GPU,15014.322879999987,15457.055359999986
0,fixed_manifest,block_10_attention,self_attention,GPU,15457.055359999986,15613.081919999984
0,fixed_manifest,block_10_proj,linear_projection,GPU,15613.081919999984,15765.326079999986
0,fixed_manifest,block_10_residual1,residual_add,GPU,15765.326079999986,15783.673279999986
0,fixed_manifest,block_10_norm2,layer_norm,GPU,15783.673279999986,15805.802879999987
0,fixed_manifest,block_10_ffn_island,fused_ffn_island,FPGA,15964.56767999999,16297.315199999988
0,fixed_manifest,block_10_residual2,residual_add,GPU,16456.07999999999,16474.42719999999
0,fixed_manifest,block_11_norm1,layer_norm,GPU,16474.42719999999,16496.55679999999
0,fixed_manifest,block_11_qkv,linear_qkv,GPU,16496.55679999999,16939.28927999999
1,fixed_manifest,patch_embedding,patch_embedding,GPU,16939.28927999999,17090.79615999999
0,fixed_manifest,block_11_attention,self_attention,GPU,17090.79615999999,17246.822719999993
1,fixed_manifest,token_embedding,token_and_position_embedding,GPU,17246.822719999993,17265.169919999993
0,fixed_manifest,block_11_proj,linear_projection,GPU,17265.169919999993,17417.41407999999
1,fixed_manifest,block_00_norm1,layer_norm,GPU,17417.41407999999,17439.54367999999
0,fixed_manifest,block_11_residual1,residual_add,GPU,17439.54367999999,17457.89087999999
1,fixed_manifest,block_00_qkv,linear_qkv,GPU,17457.89087999999,17900.623359999994
0,fixed_manifest,block_11_norm2,layer_norm,GPU,17900.623359999994,17922.752959999994
1,fixed_manifest,block_00_attention,self_attention,GPU,17922.752959999994,18078.779519999993
1,fixed_manifest,block_00_proj,linear_projection,GPU,18078.779519999993,18231.02367999999
0,fixed_manifest,block_11_ffn_island,fused_ffn_island,FPGA,18081.517759999995,18414.265279999996
1,fixed_manifest,block_00_residual1,residual_add,GPU,18231.02367999999,18249.370879999995
1,fixed_manifest,block_00_norm2,layer_norm,GPU,18249.370879999995,18271.500479999995
1,fixed_manifest,block_00_ffn_island,fused_ffn_island,FPGA,18430.265279999996,18763.012799999997
0,fixed_manifest,block_11_residual2,residual_add,GPU,18573.030079999997,18591.377279999997
0,fixed_manifest,final_norm,layer_norm,GPU,18591.377279999997,18613.506879999997
0,fixed_manifest,class_token_select,class_token_select,GPU,18613.506879999997,18620.54528
0,fixed_manifest,classifier,linear_classifier,GPU,18620.54528,18628.505279999998
1,fixed_manifest,block_00_residual2,residual_add,GPU,18921.777599999998,18940.124799999998
1,fixed_manifest,block_01_norm1,layer_norm,GPU,18940.124799999998,18962.254399999998
1,fixed_manifest,block_01_qkv,linear_qkv,GPU,18962.254399999998,19404.98688
1,fixed_manifest,block_01_attention,self_attention,GPU,19404.98688,19561.01344
1,fixed_manifest,block_01_proj,linear_projection,GPU,19561.01344,19713.257599999997
1,fixed_manifest,block_01_residual1,residual_add,GPU,19713.257599999997,19731.6048
1,fixed_manifest,block_01_norm2,layer_norm,GPU,19731.6048,19753.7344
1,fixed_manifest,block_01_ffn_island,fused_ffn_island,FPGA,19912.499200000002,20245.246720000003
1,fixed_manifest,block_01_residual2,residual_add,GPU,20404.011520000004,20422.358720000004
1,fixed_manifest,block_02_norm1,layer_norm,GPU,20422.358720000004,20444.488320000008
1,fixed_manifest,block_02_qkv,linear_qkv,GPU,20444.488320000008,20887.220800000006
1,fixed_manifest,block_02_attention,self_attention,GPU,20887.220800000006,21043.247360000005
1,fixed_manifest,block_02_proj,linear_projection,GPU,21043.247360000005,21195.491520000007
1,fixed_manifest,block_02_residual1,residual_add,GPU,21195.491520000007,21213.838720000007
1,fixed_manifest,block_02_norm2,layer_norm,GPU,21213.838720000007,21235.968320000007
1,fixed_manifest,block_02_ffn_island,fused_ffn_island,FPGA,21394.733120000008,21727.48064000001
1,fixed_manifest,block_02_residual2,residual_add,GPU,21886.24544000001,21904.592640000013
1,fixed_manifest,block_03_norm1,layer_norm,GPU,21904.592640000013,21926.722240000014
1,fixed_manifest,block_03_qkv,linear_qkv,GPU,21926.722240000014,22369.454720000012
1,fixed_manifest,block_03_attention,self_attention,GPU,22369.454720000012,22525.481280000015
1,fixed_manifest,block_03_proj,linear_projection,GPU,22525.481280000015,22677.725440000013
1,fixed_manifest,block_03_residual1,residual_add,GPU,22677.725440000013,22696.072640000013
