request_id,arrival_us,backlog_at_arrival,selected_mode
0,0.0,0,fixed_manifest
1,16666.666666666668,1,fixed_manifest
2,33333.333333333336,1,fixed_manifest
3,50000.0,1,fixed_manifest
4,66666.66666666667,1,fixed_manifest
5,83333.33333333334,1,fixed_manifest
6,100000.0,1,fixed_manifest
7,116666.66666666667,1,fixed_manifest
8,133333.33333333334,1,fixed_manifest
9,150000.0,1,fixed_manifest
10,166666.6666666667,1,fixed_manifest
11,183333.33333333334,1,fixed_manifest
12,200000.0,1,fixed_manifest
13,216666.6666666667,1,fixed_manifest
14,233333.33333333334,1,fixed_manifest
15,250000.00000000003,1,fixed_manifest
16,266666.6666666667,1,fixed_manifest
17,283333.3333333334,1,fixed_manifest
18,300000.0,1,fixed_manifest
19,316666.6666666667,1,fixed_manifest
20,333333.3333333334,1,fixed_manifest
21,350000.0,1,fixed_manifest
22,366666.6666666667,1,fixed_manifest
23,383333.3333333334,1,fixed_manifest
24,400000.0,1,fixed_manifest
25,416666.6666666667,1,fixed_manifest
26,433333.3333333334,1,fixed_manifest
27,450000.00000000006,1,fixed_manifest
28,466666.6666666667,1,fixed_manifest
29,483333.3333333334,1,fixed_manifest
30,500000.00000000006,1,fixed_manifest
31,516666.6666666667,1,fixed_manifest
32,533333.3333333334,1,fixed_manifest
33,550000.0,1,fixed_manifest
34,566666.6666666667,1,fixed_manifest
35,583333.3333333334,1,fixed_manifest
36,600000.0,1,fixed_manifest
37,616666.6666666667,1,fixed_manifest
38,633333.3333333334,1,fixed_manifest
39,650000.0,1,fixed_manifest
40,666666.6666666667,1,fixed_manifest
41,683333.3333333334,1,fixed_manifest
42,700000.0,1,fixed_manifest
43,716666.6666666667,1,fixed_manifest
44,733333.3333333334,1,fixed_manifest
45,750000.0,1,fixed_manifest
46,766666.6666666667,1,fixed_manifest
47,783333.3333333334,1,fixed_manifest
48,800000.0,1,fixed_manifest
49,816666.6666666667,1,fixed_manifest
50,833333.3333333334,1,fixed_manifest
51,850000.0000000001,1,fixed_manifest
52,866666.6666666667,1,fixed_manifest
53,883333.3333333334,1,fixed_manifest
54,900000.0000000001,1,fixed_manifest
55,916666.6666666667,1,fixed_manifest
56,933333.3333333334,1,fixed_manifest
57,950000.0000000001,1,fixed_manifest
58,966666.6666666667,1,fixed_manifest
59,983333.3333333334,1,fixed_manifest
60,1000000.0000000001,1,fixed_manifest
61,1016666.6666666667,1,fixed_manifest
62,1033333.3333333334,1,fixed_manifest
63,1050000.0,1,fixed_manifest
