mode,dma_mode,architecture,tile_tokens,buffers,ffn_latency_us,speedup_vs_monolithic,conservative_buffer_bytes,resident_weight_bytes,total_local_bytes
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,8,2,1468.7839999999997,0.4345768472423448,245760,1179648,1425408
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,8,2,390.0191999999994,1.6365848655655952,245760,1179648,1425408
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,8,2,469.9232,1.3583060380930332,245760,1179648,1425408
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,8,2,1468.7839999999997,0.4345768472423448,245760,1179648,1425408
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,8,2,271.0649600000001,2.3547843291881025,245760,1179648,1425408
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,16,1,638.29952,1.0,245760,1179648,1425408
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,16,1,905.3868799999996,0.7050019545235737,245760,1179648,1425408
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,16,1,417.1654399999999,1.530087247879403,245760,1179648,1425408
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,16,1,477.05024000000003,1.3380132038084709,245760,1179648,1425408
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,16,1,905.3868799999996,0.7050019545235737,245760,1179648,1425408
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,16,1,384.19264000000004,1.661404861894283,245760,1179648,1425408
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,16,2,638.29952,1.0,491520,1179648,1671168
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,16,2,869.8079999999995,0.7338395599948498,491520,1179648,1671168
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,16,2,384.1644799999999,1.6615266460865934,491520,1179648,1671168
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,16,2,477.05024000000003,1.3380132038084709,491520,1179648,1671168
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,16,2,869.8079999999995,0.7338395599948498,491520,1179648,1671168
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,16,2,282.3699200000001,2.2605082014401527,491520,1179648,1671168
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,32,1,638.29952,1.0,491520,1179648,1671168
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,32,1,631.6163200000001,1.010581107213949,491520,1179648,1671168
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,32,1,430.8793600000001,1.481388015429655,491520,1179648,1671168
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,32,1,491.30432,1.2991937868569932,491520,1179648,1671168
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,32,1,631.6163200000001,1.010581107213949,491520,1179648,1671168
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,32,1,390.9843200000001,1.6325450596075053,491520,1179648,1671168
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,32,2,638.29952,1.0,983040,1179648,2162688
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,32,2,571.856,1.1161892504406705,983040,1179648,2162688
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,32,2,400.84512000000007,1.592384410218091,983040,1179648,2162688
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,32,2,491.30432,1.2991937868569932,983040,1179648,2162688
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,32,2,571.856,1.1161892504406705,983040,1179648,2162688
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,32,2,304.2758400000001,2.09776602703652,983040,1179648,2162688
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,64,1,638.29952,1.0,983040,1179648,2162688
