request_id,arrival_us,backlog_at_arrival,selected_mode
0,0.0,0,gpu_only
1,25000.0,0,gpu_only
2,50000.0,0,gpu_only
3,75000.0,0,gpu_only
4,100000.0,0,gpu_only
5,125000.0,0,gpu_only
6,150000.0,0,gpu_only
7,175000.0,0,gpu_only
8,200000.0,0,gpu_only
9,225000.0,0,gpu_only
10,250000.0,0,gpu_only
11,275000.0,0,gpu_only
12,300000.0,0,gpu_only
13,325000.0,0,gpu_only
14,350000.0,0,gpu_only
15,375000.0,0,gpu_only
16,400000.0,0,gpu_only
17,425000.0,0,gpu_only
18,450000.0,0,gpu_only
19,475000.0,0,gpu_only
20,500000.0,0,gpu_only
21,525000.0,0,gpu_only
22,550000.0,0,gpu_only
23,575000.0,0,gpu_only
24,600000.0,0,gpu_only
25,625000.0,0,gpu_only
26,650000.0,0,gpu_only
27,675000.0,0,gpu_only
28,700000.0,0,gpu_only
29,725000.0,0,gpu_only
30,750000.0,0,gpu_only
31,775000.0,0,gpu_only
32,800000.0,0,gpu_only
33,825000.0,0,gpu_only
34,850000.0,0,gpu_only
35,875000.0,0,gpu_only
36,900000.0,0,gpu_only
37,925000.0,0,gpu_only
38,950000.0,0,gpu_only
39,975000.0,0,gpu_only
40,1000000.0,0,gpu_only
41,1025000.0,0,gpu_only
42,1050000.0,0,gpu_only
43,1075000.0,0,gpu_only
44,1100000.0,0,gpu_only
45,1125000.0,0,gpu_only
46,1150000.0,0,gpu_only
47,1175000.0,0,gpu_only
48,1200000.0,0,gpu_only
49,1225000.0,0,gpu_only
50,1250000.0,0,gpu_only
51,1275000.0,0,gpu_only
52,1300000.0,0,gpu_only
53,1325000.0,0,gpu_only
54,1350000.0,0,gpu_only
55,1375000.0,0,gpu_only
56,1400000.0,0,gpu_only
57,1425000.0,0,gpu_only
58,1450000.0,0,gpu_only
59,1475000.0,0,gpu_only
60,1500000.0,0,gpu_only
61,1525000.0,0,gpu_only
62,1550000.0,0,gpu_only
63,1575000.0,0,gpu_only
