request_id,arrival_us,backlog_at_arrival,selected_mode
0,0.0,0,fixed_manifest
1,25000.0,0,fixed_manifest
2,50000.0,0,fixed_manifest
3,75000.0,0,fixed_manifest
4,100000.0,0,fixed_manifest
5,125000.0,0,fixed_manifest
6,150000.0,0,fixed_manifest
7,175000.0,0,fixed_manifest
8,200000.0,0,fixed_manifest
9,225000.0,0,fixed_manifest
10,250000.0,0,fixed_manifest
11,275000.0,0,fixed_manifest
12,300000.0,0,fixed_manifest
13,325000.0,0,fixed_manifest
14,350000.0,0,fixed_manifest
15,375000.0,0,fixed_manifest
16,400000.0,0,fixed_manifest
17,425000.0,0,fixed_manifest
18,450000.0,0,fixed_manifest
19,475000.0,0,fixed_manifest
20,500000.0,0,fixed_manifest
21,525000.0,0,fixed_manifest
22,550000.0,0,fixed_manifest
23,575000.0,0,fixed_manifest
24,600000.0,0,fixed_manifest
25,625000.0,0,fixed_manifest
26,650000.0,0,fixed_manifest
27,675000.0,0,fixed_manifest
28,700000.0,0,fixed_manifest
29,725000.0,0,fixed_manifest
30,750000.0,0,fixed_manifest
31,775000.0,0,fixed_manifest
32,800000.0,0,fixed_manifest
33,825000.0,0,fixed_manifest
34,850000.0,0,fixed_manifest
35,875000.0,0,fixed_manifest
36,900000.0,0,fixed_manifest
37,925000.0,0,fixed_manifest
38,950000.0,0,fixed_manifest
39,975000.0,0,fixed_manifest
40,1000000.0,0,fixed_manifest
41,1025000.0,0,fixed_manifest
42,1050000.0,0,fixed_manifest
43,1075000.0,0,fixed_manifest
44,1100000.0,0,fixed_manifest
45,1125000.0,0,fixed_manifest
46,1150000.0,0,fixed_manifest
47,1175000.0,0,fixed_manifest
48,1200000.0,0,fixed_manifest
49,1225000.0,0,fixed_manifest
50,1250000.0,0,fixed_manifest
51,1275000.0,0,fixed_manifest
52,1300000.0,0,fixed_manifest
53,1325000.0,0,fixed_manifest
54,1350000.0,0,fixed_manifest
55,1375000.0,0,fixed_manifest
56,1400000.0,0,fixed_manifest
57,1425000.0,0,fixed_manifest
58,1450000.0,0,fixed_manifest
59,1475000.0,0,fixed_manifest
60,1500000.0,0,fixed_manifest
61,1525000.0,0,fixed_manifest
62,1550000.0,0,fixed_manifest
63,1575000.0,0,fixed_manifest
