path_kind,pcie_effective_bandwidth_GBps,one_way_fixed_latency_us,fpga_linear_speedup_over_gpu,policy,analytical_makespan_us,speedup_vs_gpu_only,offloaded_linear_tasks,cross_device_edges,logical_cross_device_bytes,physical_link_bytes,valid_for_target_prediction
host_staged_two_copy,4,10,4,static_all_fpga,46157.47444800015,0.48062369393698906,49,97,116198400,232396800,False
host_staged_two_copy,4,10,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,10,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,10,8,static_all_fpga,44035.237544000134,0.5037869013385774,49,97,116198400,232396800,False
host_staged_two_copy,4,10,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,10,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,10,16,static_all_fpga,42974.119092000125,0.5162264251306029,49,97,116198400,232396800,False
host_staged_two_copy,4,10,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,20,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,20,2,static_all_fpga,51371.94825600016,0.43183832081760526,49,97,116198400,232396800,False
host_staged_two_copy,4,20,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,20,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,20,4,static_all_fpga,47127.474448000154,0.4707312694313371,49,97,116198400,232396800,False
host_staged_two_copy,4,20,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,20,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,20,8,static_all_fpga,45005.23754400013,0.49292875857640095,49,97,116198400,232396800,False
host_staged_two_copy,4,20,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,20,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,20,16,static_all_fpga,43944.119092000125,0.5048315071592504,49,97,116198400,232396800,False
host_staged_two_copy,4,20,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,50,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,50,2,static_all_fpga,54281.948256000185,0.40868790794641036,49,97,116198400,232396800,False
host_staged_two_copy,4,50,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,50,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,50,4,static_all_fpga,50037.47444800017,0.44335522759156065,49,97,116198400,232396800,False
host_staged_two_copy,4,50,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,50,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,50,8,static_all_fpga,47915.23754400014,0.46299208788495094,49,97,116198400,232396800,False
host_staged_two_copy,4,50,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,50,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,4,50,16,static_all_fpga,46854.11909200013,0.47347760030318814,49,97,116198400,232396800,False
host_staged_two_copy,4,50,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
