request_id,task_id,task_type,device,start_us,finish_us,duration_us
0,patch_embedding,patch_embedding,GPU,0.0,120.60550400000001,120.60550400000001
1,patch_embedding,patch_embedding,GPU,120.60550400000001,241.21100800000002,120.60550400000001
2,patch_embedding,patch_embedding,GPU,241.21100800000002,361.816512,120.605504
3,patch_embedding,patch_embedding,GPU,361.816512,482.42201600000004,120.60550400000002
4,patch_embedding,patch_embedding,GPU,482.42201600000004,603.02752,120.60550399999997
5,patch_embedding,patch_embedding,GPU,603.02752,723.633024,120.60550400000002
6,patch_embedding,patch_embedding,GPU,723.633024,844.2385280000001,120.60550400000002
7,patch_embedding,patch_embedding,GPU,844.2385280000001,964.8440320000001,120.60550400000002
0,token_embedding,token_and_position_embedding,GPU,964.8440320000001,1006.155072,41.311039999999984
1,token_embedding,token_and_position_embedding,GPU,1006.155072,1047.466112,41.3110400000001
2,token_embedding,token_and_position_embedding,GPU,1047.466112,1088.7771520000003,41.3110400000001
3,token_embedding,token_and_position_embedding,GPU,1088.7771520000003,1130.0881920000004,41.3110400000001
4,token_embedding,token_and_position_embedding,GPU,1130.0881920000004,1171.3992320000004,41.3110400000001
5,token_embedding,token_and_position_embedding,GPU,1171.3992320000004,1212.7102720000005,41.3110400000001
6,token_embedding,token_and_position_embedding,GPU,1212.7102720000005,1254.0213120000005,41.3110400000001
7,token_embedding,token_and_position_embedding,GPU,1254.0213120000005,1295.3323520000008,41.3110400000001
0,block_00_norm1,layer_norm,GPU,1295.3323520000008,1348.7470720000008,53.41472000000005
1,block_00_norm1,layer_norm,GPU,1348.7470720000008,1402.1617920000008,53.41472000000005
2,block_00_norm1,layer_norm,GPU,1402.1617920000008,1455.5765120000008,53.41472000000005
3,block_00_norm1,layer_norm,GPU,1455.5765120000008,1508.991232000001,53.41472000000005
0,block_00_qkv,linear_qkv,FPGA,1464.1931520000007,1560.5896480000008,96.39649600000008
4,block_00_norm1,layer_norm,GPU,1508.991232000001,1562.405952000001,53.41472000000005
5,block_00_norm1,layer_norm,GPU,1562.405952000001,1615.820672000001,53.41472000000005
1,block_00_qkv,linear_qkv,FPGA,1610.7582120000006,1707.1547080000007,96.39649600000008
6,block_00_norm1,layer_norm,GPU,1615.820672000001,1669.235392000001,53.41472000000005
7,block_00_norm1,layer_norm,GPU,1669.235392000001,1722.6501120000012,53.41472000000005
2,block_00_qkv,linear_qkv,FPGA,1767.9858388571433,1864.3823348571434,96.39649600000008
3,block_00_qkv,linear_qkv,FPGA,1966.4452194285723,2062.8417154285726,96.39649600000008
4,block_00_qkv,linear_qkv,FPGA,2092.474104000001,2188.870600000001,96.39649600000008
5,block_00_qkv,linear_qkv,FPGA,2188.870600000001,2285.267096000001,96.39649600000008
6,block_00_qkv,linear_qkv,FPGA,2285.267096000001,2381.6635920000012,96.39649600000008
7,block_00_qkv,linear_qkv,FPGA,2381.6635920000012,2478.060088000001,96.39649600000008
0,block_00_attention,self_attention,GPU,3269.558393028572,3393.7796410285723,124.22124800000019
1,block_00_attention,self_attention,GPU,3481.5277130285717,3605.748961028572,124.22124800000019
2,block_00_attention,self_attention,GPU,3636.994004457143,3761.2152524571434,124.22124800000019
3,block_00_attention,self_attention,GPU,3831.478420457144,3955.6996684571436,124.22124800000019
4,block_00_attention,self_attention,GPU,3959.4439276238104,4083.66517562381,124.22124799999976
0,block_00_proj,linear_projection,FPGA,3978.656852984921,4016.9556849849214,38.298832000000125
5,block_00_attention,self_attention,GPU,4083.66517562381,4207.88642362381,124.22124799999976
1,block_00_proj,linear_projection,FPGA,4165.872360933202,4204.171192933202,38.298832000000125
6,block_00_attention,self_attention,GPU,4207.88642362381,4332.107671623809,124.22124799999976
2,block_00_proj,linear_projection,FPGA,4290.020264460958,4328.319096460958,38.298832000000125
7,block_00_attention,self_attention,GPU,4332.107671623809,4456.328919623809,124.22124799999976
3,block_00_proj,linear_projection,FPGA,4458.063445939371,4496.362277939372,38.298832000000125
0,block_00_residual1,residual_add,GPU,4528.795890412177,4570.106930412177,41.31104000000031
0,block_00_norm2,layer_norm,GPU,4570.106930412177,4623.521650412176,53.41471999999962
4,block_00_proj,linear_projection,FPGA,4601.82602564088,4640.12485764088,38.298832000000125
1,block_00_residual1,residual_add,GPU,4749.449391480211,4790.760431480211,41.31104000000031
5,block_00_proj,linear_projection,FPGA,4753.78382728592,4792.082659285919,38.298832000000125
1,block_00_norm2,layer_norm,GPU,4790.760431480211,4844.17515148021,53.41471999999962
2,block_00_residual1,residual_add,GPU,4899.929546527829,4941.24058652783,41.31104000000031
6,block_00_proj,linear_projection,FPGA,4904.34955088449,4942.648382884489,38.298832000000125
2,block_00_norm2,layer_norm,GPU,4941.24058652783,4994.6553065278285,53.41471999999962
7,block_00_proj,linear_projection,FPGA,5024.361896208667,5062.660728208667,38.298832000000125
3,block_00_residual1,residual_add,GPU,5064.395254524229,5105.70629452423,41.31104000000031
3,block_00_norm2,layer_norm,GPU,5105.70629452423,5159.121014524229,53.41471999999962
0,block_00_fc1,linear_ffn1,FPGA,5196.017512918342,5321.462840918341,125.44532799999963
4,block_00_residual1,residual_add,GPU,5212.620720147044,5253.931760147045,41.31104000000031
4,block_00_norm2,layer_norm,GPU,5253.931760147045,5307.3464801470445,53.41471999999962
5,block_00_residual1,residual_add,GPU,5344.372127939858,5385.683167939857,41.31104000000031
5,block_00_norm2,layer_norm,GPU,5385.683167939857,5439.097887939857,53.41471999999962
1,block_00_fc1,linear_ffn1,FPGA,5396.464620134148,5521.909948134148,125.44532799999963
