request_id,selected_mode,arrival_us,completion_us,latency_us,slo_met
0,fixed_manifest,0.0,22150.065600000013,22150.065600000013,True
1,fixed_manifest,10000.0,37483.58271999998,27483.582719999977,True
2,fixed_manifest,20000.0,50268.861439999935,30268.861439999935,False
3,fixed_manifest,30000.0,61930.51775999982,31930.51775999982,False
4,fixed_manifest,40000.0,73145.6591999999,33145.65919999989,False
5,fixed_manifest,50000.0,82393.9289599999,32393.928959999903,False
6,fixed_manifest,60000.0,94364.24607999997,34364.24607999997,False
7,fixed_manifest,70000.0,105439.66016000004,35439.66016000004,False
8,fixed_manifest,80000.0,115607.99424000012,35607.99424000012,False
9,fixed_manifest,90000.0,125820.58752000019,35820.58752000019,False
10,fixed_manifest,100000.0,136011.05120000025,36011.05120000025,False
11,fixed_manifest,110000.0,146161.03808000032,36161.03808000032,False
12,fixed_manifest,120000.0,157301.59568000046,37301.595680000464,False
13,fixed_manifest,130000.0,168809.25552000056,38809.25552000056,False
14,fixed_manifest,140000.0,178981.37200000064,38981.37200000064,False
15,fixed_manifest,150000.0,189981.66288000072,39981.66288000072,False
16,fixed_manifest,160000.0,199380.64656000075,39380.64656000075,False
17,fixed_manifest,170000.0,209530.63344000085,39530.63344000085,False
18,fixed_manifest,180000.0,223661.51088000095,43661.51088000095,False
19,fixed_manifest,190000.0,229911.56080000097,39911.56080000097,False
20,fixed_manifest,200000.0,240102.02448000104,40102.02448000104,False
21,fixed_manifest,210000.0,253793.9518400007,43793.95184000069,False
22,fixed_manifest,220000.0,260634.45872000002,40634.458720000024,False
23,fixed_manifest,230000.0,274174.8791999987,44174.879199998686,False
24,fixed_manifest,240000.0,283507.47407999774,43507.474079997744,False
25,fixed_manifest,250000.0,294511.5473599967,44511.54735999671,False
26,fixed_manifest,260000.0,301445.8644799961,41445.86447999609,False
27,fixed_manifest,270000.0,314132.19855999487,44132.19855999487,False
28,fixed_manifest,280000.0,326160.314079994,46160.31407999399,False
29,fixed_manifest,290000.0,336565.6283199929,46565.62831999292,False
30,fixed_manifest,300000.0,345226.07535999204,45226.07535999204,False
31,fixed_manifest,310000.0,356928.2084799909,46928.20847999089,False
32,fixed_manifest,320000.0,367289.26351998985,47289.26351998985,False
33,fixed_manifest,330000.0,377483.5095999888,47483.509599988814,False
34,fixed_manifest,340000.0,388461.67087998777,48461.67087998777,False
35,fixed_manifest,350000.0,398633.7873599868,48633.7873599868,False
36,fixed_manifest,360000.0,408949.5380799858,48949.538079985825,False
37,fixed_manifest,370000.0,419140.0017599848,49140.00175998482,False
38,fixed_manifest,380000.0,429330.4654399838,49330.46543998382,False
39,fixed_manifest,390000.0,439520.9291199828,49520.929119982815,False
40,fixed_manifest,400000.0,450672.7268799817,50672.726879981696,False
41,fixed_manifest,410000.0,460944.14415998064,50944.14415998064,False
42,fixed_manifest,420000.0,472390.94991997955,52390.949919979554,False
43,fixed_manifest,430000.0,482540.93679997855,52540.936799978546,False
44,fixed_manifest,440000.0,492927.9038399775,52927.903839977516,False
45,fixed_manifest,450000.0,503252.26447997807,53252.26447997807,False
46,fixed_manifest,460000.0,513461.07535998133,53461.07535998133,False
47,fixed_manifest,470000.0,523651.5390399845,53651.53903998452,False
48,fixed_manifest,480000.0,533842.0027199878,53842.002719987766,False
49,fixed_manifest,490000.0,544493.546079991,54493.546079991036,False
50,fixed_manifest,500000.0,554241.2772799942,54241.27727999422,False
51,fixed_manifest,510000.0,565267.4801599976,55267.48015999759,False
52,fixed_manifest,520000.0,575476.2910400009,55476.291040000855,False
53,fixed_manifest,530000.0,587268.0619200044,57268.06192000443,False
54,fixed_manifest,540000.0,597154.0372800076,57154.037280007615,False
55,fixed_manifest,550000.0,607478.3979200108,57478.397920010844,False
56,fixed_manifest,560000.0,617490.7054400139,57490.7054400139,False
57,fixed_manifest,570000.0,627681.1691200171,57681.16912001709,False
58,fixed_manifest,580000.0,638046.0065600204,58046.00656002038,False
59,fixed_manifest,590000.0,647100.7624000233,57100.76240002329,False
60,fixed_manifest,600000.0,653328.6827200254,53328.68272002542,False
61,fixed_manifest,610000.0,658375.8987200271,48375.898720027064,False
62,fixed_manifest,620000.0,663116.8712000285,43116.87120002846,False
63,fixed_manifest,630000.0,666414.0865600294,36414.08656002942,False
