path_kind,pcie_effective_bandwidth_GBps,one_way_fixed_latency_us,fpga_linear_speedup_over_gpu,policy,analytical_makespan_us,speedup_vs_gpu_only,offloaded_linear_tasks,cross_device_edges,logical_cross_device_bytes,physical_link_bytes,valid_for_target_prediction
host_staged_two_copy,3.2,25,2,static_all_fpga,40906.053920000035,0.6050207993272011,49,97,58099200,116198400,False
host_staged_two_copy,3.2,25,2,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,25,4,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,25,4,static_all_fpga,35591.274160000066,0.6953674467719579,49,97,58099200,116198400,False
host_staged_two_copy,3.2,25,4,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,25,8,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,25,8,static_all_fpga,32933.88428000011,0.7514756907987754,49,97,58099200,116198400,False
host_staged_two_copy,3.2,25,8,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,25,16,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,25,16,static_all_fpga,31605.189340000106,0.7830680327131344,49,97,58099200,116198400,False
host_staged_two_copy,3.2,25,16,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,50,2,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,50,2,static_all_fpga,43331.05392000002,0.5711611235141635,49,97,58099200,116198400,False
host_staged_two_copy,3.2,50,2,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,50,4,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,50,4,static_all_fpga,38016.27416000005,0.6510110205918185,49,97,58099200,116198400,False
host_staged_two_copy,3.2,50,4,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,50,8,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,50,8,static_all_fpga,35358.884280000086,0.6999376237105621,49,97,58099200,116198400,False
host_staged_two_copy,3.2,50,8,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,50,16,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,50,16,static_all_fpga,34030.18934000009,0.7272664043308535,49,97,58099200,116198400,False
host_staged_two_copy,3.2,50,16,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,100,2,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,100,2,static_all_fpga,48181.053919999984,0.5136669173134604,49,97,58099200,116198400,False
host_staged_two_copy,3.2,100,2,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,100,4,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,100,4,static_all_fpga,42866.27416000003,0.5773539670749867,49,97,58099200,116198400,False
host_staged_two_copy,3.2,100,4,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,100,8,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,100,8,static_all_fpga,40208.88428000006,0.6155110713258511,49,97,58099200,116198400,False
host_staged_two_copy,3.2,100,8,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,100,16,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,3.2,100,16,static_all_fpga,38880.189340000055,0.6365455997030897,49,97,58099200,116198400,False
host_staged_two_copy,3.2,100,16,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,10,2,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,10,2,static_all_fpga,30373.05392000002,0.8148345406815777,49,97,58099200,116198400,False
host_staged_two_copy,6.4,10,2,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,10,4,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,10,4,static_all_fpga,25058.27416000002,0.9876583391966525,49,97,58099200,116198400,False
host_staged_two_copy,6.4,10,4,communication_eft,24016.953919999996,1.0304809478520252,24,48,36311040,72622080,False
host_staged_two_copy,6.4,10,8,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,10,8,static_all_fpga,22400.884280000035,1.104823056565514,49,97,58099200,116198400,False
host_staged_two_copy,6.4,10,8,communication_eft,21660.140960000022,1.142606296316549,36,72,50835456,101670912,False
host_staged_two_copy,6.4,10,16,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,10,16,static_all_fpga,21072.18934000004,1.1744870473909648,49,97,58099200,116198400,False
host_staged_two_copy,6.4,10,16,communication_eft,20446.12664000003,1.2104499730321523,36,72,50835456,101670912,False
host_staged_two_copy,6.4,25,2,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,25,2,static_all_fpga,31828.053920000017,0.7775848784913708,49,97,58099200,116198400,False
host_staged_two_copy,6.4,25,2,communication_eft,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,25,4,gpu_only,24749.01344000001,1.0,0,0,0,0,False
host_staged_two_copy,6.4,25,4,static_all_fpga,26513.274160000015,0.9334574557124405,49,97,58099200,116198400,False
host_staged_two_copy,6.4,25,4,communication_eft,24736.953919999993,1.0004875103070094,24,48,36311040,72622080,False
